seq,anchorId,range,rssi,sec,nsec
160,0,6006,-88.45686467920471,150,758000000
160,1,2175,-87.65667486046642,150,772000000
160,3,6001,-88.77019922469765,150,773000000
161,0,6013,-87.83103288258836,150,860000000
161,1,2101,-88.81728963287657,150,863000000
161,3,6011,-89.1209116001034,150,865000000
162,0,6091,-87.98542067790184,150,959000000
162,1,2152,-87.49514225926383,150,966000000
162,3,6043,-88.95389323867902,150,969000000
163,0,6054,-89.14696332711591,151,61000000
163,1,2182,-88.50481069030859,151,65000000
163,3,6044,-87.79813676407976,151,79000000
164,0,6067,-88.14751675842626,151,160000000
164,1,2139,-87.8115329796878,151,167000000
164,3,6025,-87.85946056599242,151,170000000
165,0,5877,-88.11289860219362,151,260000000
165,1,2151,-87.63312706447377,151,263000000
165,3,6076,-89.7368912925174,151,273000000
166,0,5893,-89.02637502623001,151,360000000
166,1,2145,-87.819557803528,151,365000000
166,3,6058,-88.55375224337145,151,367000000
167,0,5898,-88.45866051964462,151,460000000
167,1,2189,-87.87625084799204,151,462000000
167,3,6347,-92.1742227811443,151,472000000
168,0,5915,-88.5836929478413,151,555000000
168,1,2142,-89.12514446255149,151,562000000
168,3,6408,-92.6296500635546,151,564000000
169,0,5954,-88.54681784812011,151,662000000
169,1,2201,-87.74338490036968,151,673000000
169,3,6382,-91.62312836481529,151,677000000
170,0,5946,-89.13548594343679,151,760000000
170,1,2230,-87.22930736438329,151,761000000
170,3,6439,-91.81662873063732,151,772000000
171,0,5892,-88.3191398951018,151,860000000
171,1,2202,-88.57659037733445,151,864000000
171,3,6438,-91.37355220625808,151,874000000
172,0,6004,-87.9059823597878,151,960000000
172,1,2243,-87.81096921487676,151,963000000
172,3,6431,-91.50069120185675,151,964000000
173,0,5951,-87.90311776685861,152,58000000
173,1,2205,-87.64307767091856,152,60000000
173,3,6279,-92.61240441292571,152,65000000
174,0,5929,-87.75162674996659,152,159000000
174,1,2291,-87.7227945416749,152,167000000
174,3,6303,-91.443429314803,152,174000000
175,0,5953,-87.74148375242765,152,259000000
175,1,2244,-87.93762123478626,152,271000000
175,3,6316,-91.79832813228094,152,283000000
176,0,5916,-87.80322202179389,152,360000000
176,1,2275,-88.03365337591651,152,370000000
176,3,6321,-92.7296559879508,152,375000000
177,0,5942,-88.50661306828943,152,460000000
177,1,2255,-87.96411223475154,152,465000000
177,3,6312,-92.9260934487096,152,474000000
178,0,5924,-88.47401069471947,152,559000000
178,1,2253,-89.01685340960336,152,565000000
178,3,6331,-92.22111345590665,152,581000000
179,0,6055,-88.87216865510948,152,660000000
179,1,2267,-88.8862271219312,152,665000000
179,3,6344,-92.00969458416796,152,670000000
180,0,6021,-88.4094261335549,152,760000000
180,1,2288,-88.40461647777272,152,765000000
180,3,6342,-92.29943067702712,152,776000000
181,0,6002,-88.26053417463879,152,860000000
181,1,2228,-88.01356223290097,152,865000000
181,3,6362,-92.4465305357577,152,877000000
182,0,5974,-88.87425058711973,152,958000000
182,1,2213,-88.34004951545046,152,976000000
182,3,6380,-91.2849165371074,152,984000000
183,0,6052,-88.33487031418672,153,59000000
183,1,2244,-87.45153539980669,153,67000000
183,3,6595,-89.73405300898753,153,81000000
184,0,6009,-89.14752312670066,153,159000000
184,1,2232,-87.72563432857257,153,162000000
184,3,6613,-89.57185466770193,153,166000000
185,0,5982,-88.87821473014709,153,260000000
185,1,2223,-87.42727668248129,153,265000000
185,3,6611,-90.20564975263228,153,277000000
186,0,5949,-88.69226711330188,153,359000000
186,1,2205,-88.55940426797937,153,364000000
186,3,6612,-88.88910765215938,153,368000000
187,0,5550,-88.80440444871323,153,460000000
187,1,2234,-87.60953707965209,153,462000000
187,3,6636,-89.91063987006044,153,477000000
188,0,5527,-88.44624351369761,153,560000000
188,1,2221,-87.93309125124816,153,563000000
188,3,6630,-88.87367657637274,153,566000000
189,0,5466,-88.08958826396464,153,659000000
189,1,2254,-88.1862620674123,153,664000000
189,3,6621,-89.4752529794721,153,667000000
190,0,5628,-88.17003344764049,153,760000000
190,1,2207,-87.76014941336403,153,765000000
190,3,6631,-89.0829360999977,153,772000000
