seq,sec,nsec,X,Y,Z
1202,152,558000000,5.9475223213747626,5.7821798896798695,1.7211098332437107
1203,152,659000000,5.965571087065033,5.75087541150939,1.7201298332437105
1204,152,759000000,5.983619852755304,5.71957093333891,1.7191498332437098
1205,152,859000000,6.001668618445574,5.688266455168431,1.7181698332437094
1206,152,957000000,6.019717384135845,5.656961976997951,1.717189833243709
1207,153,58000000,6.037766149826116,5.625657498827471,1.7162098332437086
1208,153,159000000,6.055814915516386,5.594353020656992,1.715229833243708
1209,153,259000000,6.073863681206657,5.563048542486512,1.7142498332437075
1210,153,359000000,6.091912446896927,5.531744064316032,1.7132698332437073
1211,153,459000000,6.109961212587198,5.500439586145553,1.7122898332437069
1212,153,559000000,6.128009978277468,5.469135107975073,1.7113098332437064
1213,153,659000000,6.146058743967739,5.437830629804593,1.710329833243706
1214,153,759000000,6.16410750965801,5.406526151634114,1.7093498332437056
1215,153,859000000,6.18215627534828,5.375221673463634,1.7083698332437052
1216,153,960000000,6.200205041038551,5.343917195293154,1.7073898332437047
1217,154,59000000,6.218253806728821,5.312612717122675,1.7064098332437043
1218,154,159000000,6.236302572419092,5.281308238952195,1.705429833243704
1219,154,259000000,6.2543513381093625,5.250003760781715,1.7044498332437037
1220,154,359000000,6.272400103799633,5.218699282611236,1.703469833243703
1221,154,459000000,6.290448869489904,5.187394804440756,1.7024898332437026
1222,154,559000000,6.308497635180174,5.156090326270276,1.7015098332437022
1223,154,656000000,6.326546400870445,5.124785848099797,1.7005298332437018
1224,154,759000000,6.344595166560715,5.093481369929317,1.6995498332437011
1225,154,859000000,6.362643932250986,5.062176891758837,1.698569833243701
1226,154,959000000,6.380692697941257,5.030872413588358,1.6975898332437005
1227,155,59000000,6.398741463631527,4.999567935417878,1.6966098332437
1228,155,159000000,6.416790229321798,4.968263457247399,1.6956298332436996
1229,155,259000000,6.434838995012068,4.936958979076919,1.6946498332436992
1230,155,359000000,6.452887760702339,4.905654500906439,1.6936698332436988
1231,155,459000000,6.4709365263926095,4.87435002273596,1.6926898332436984
1232,155,559000000,6.48898529208288,4.84304554456548,1.691709833243698
1233,155,659000000,6.507034057773151,4.811741066395,1.6907298332436975
1234,155,759000000,6.525082823463421,4.7804365882245206,1.689749833243697
1235,155,859000000,6.543131589153692,4.749132110054041,1.688769833243697
1236,155,960000000,6.561180354843962,4.717827631883561,1.6877898332436962
1237,156,59000000,6.579229120534233,4.686523153713082,1.6868098332436958
1238,156,159000000,6.597277886224504,4.655218675542602,1.6858298332436954
1239,156,259000000,6.615326651914774,4.623914197372122,1.684849833243695
1240,156,359000000,6.633375417605045,4.592609719201643,1.6838698332436943
1241,156,459000000,6.651424183295315,4.561305241031163,1.682889833243694
1242,156,560000000,6.669472948985586,4.530000762860683,1.6819098332436937
1243,156,659000000,6.6875217146758565,4.498696284690204,1.6809298332436933
1244,156,759000000,6.705570480366127,4.467391806519724,1.6799498332436928
1245,156,859000000,6.723619246056398,4.436087328349244,1.6789698332436924
1246,156,959000000,6.741668011746668,4.404782850178765,1.677989833243692
1247,157,60000000,6.759716777436939,4.373478372008285,1.6770098332436916
1248,157,159000000,6.7777655431272095,4.342173893837805,1.6760298332436911
1249,157,259000000,6.79581430881748,4.310869415667326,1.6750498332436907
1250,157,359000000,6.813863074507751,4.279564937496846,1.6740698332436903
1251,157,459000000,6.831911840198021,4.248260459326366,1.67308983324369
1252,157,559000000,6.849960605888292,4.216955981155887,1.6721098332436894
1253,157,660000000,6.868009371578562,4.185651502985407,1.671129833243689
1254,157,759000000,6.886058137268833,4.154347024814928,1.6701498332436886
1255,157,859000000,6.904106902959104,4.123042546644448,1.6691698332436882
1256,157,959000000,6.922155668649374,4.091738068473968,1.6681898332436875
1257,158,59000000,6.940204434339645,4.0604335903034885,1.667209833243687
1258,158,159000000,6.958253200029915,4.029129112133009,1.666229833243687
1259,158,259000000,6.976301965720186,3.997824633962529,1.6652498332436865
1260,158,359000000,6.9943507314104565,3.9665201557920495,1.664269833243686
1261,158,459000000,7.012399497100727,3.93521567762157,1.6632898332436856
1262,158,559000000,7.030448262790998,3.90391119945109,1.6623098332436852
1263,158,659000000,7.048497028481268,3.8726067212806106,1.6613298332436848
1264,158,759000000,7.066545794171539,3.841302243110131,1.6603498332436843
1265,158,859000000,7.084594559861809,3.8099977649396513,1.659369833243684
1266,158,959000000,7.10264332555208,3.778693286769172,1.6583898332436835
1267,159,59000000,7.120692091242351,3.747388808598692,1.657409833243683
1268,159,159000000,7.138740856932621,3.716084330428212,1.6564298332436826
1269,159,259000000,7.156789622622892,3.6847798522577326,1.6554498332436822
1270,159,359000000,7.174838388313162,3.653475374087253,1.6544698332436818
1271,159,459000000,7.192887154003433,3.622170895916773,1.6534898332436814
1272,159,559000000,7.210935919693703,3.5908664177462937,1.652509833243681
1273,159,659000000,7.228984685383974,3.559561939575814,1.6515298332436803
1274,159,759000000,7.247033451074245,3.5282574614053344,1.65054983324368
1275,159,859000000,7.264264422829651,3.497770777169725,1.6503876271785372
1276,159,959000000,7.279039781629779,3.469739705889393,1.6526810340686715
1277,160,59000000,7.29074129260781,3.4441553938391927,1.6580482887809045
1278,160,159000000,7.302420770899268,3.416780963841726,1.6670066552156029
1279,160,259000000,7.318459525937464,3.38789507428656,1.6754706632905318
